LOWRequesterID2022-04-08T18:02:57.059704200,LOW,A Room,RequesterID,AssigneeID,111111151,Sandwich,Fruit,Soda,IceCream
LOWRequesterID2022-04-08T18:04:11.190494700,LOW,A Room,RequesterID,AssigneeID,123123123,Sandwich,Fruit,Water,Cake
LOWRequesterID2022-04-08T18:13:32.821792700,LOW,A Room,RequesterID,AssigneeID,123123123,Pasta,Fries,Water,IceCream
LOWRequesterID2022-04-08T18:14:21.652887900,LOW,A Room,RequesterID,AssigneeID,123123123,Sandwich,Fries,Water,Cake
LOWRequesterID2022-04-08T18:14:55.080970400,LOW,A Room,RequesterID,AssigneeID,123123123,Pasta,Fries,Soda,IceCream
LOWRequesterID2022-04-08T18:16:25.035168300,LOW,A Room,RequesterID,AssigneeID,123123123,Pasta,Fries,Water,IceCream
LOWRequesterID2022-04-08T18:19:07.457368300,LOW,A Room,RequesterID,AssigneeID,4445,Pasta,Fries,Water,IceCream
LOWRequesterID2022-04-08T18:20:15.853521400,LOW,A Room,RequesterID,AssigneeID,123123123,Sandwich,Fruit,Soda,IceCream
LOWRequesterID2022-04-08T18:21:09.661673300,LOW,A Room,RequesterID,AssigneeID,123123123,Sandwich,Fruit,Water,IceCream
LOWRequesterID2022-04-08T18:21:37.764574400,LOW,A Room,RequesterID,AssigneeID,123123123,123Pasta,Fries,Soda,Cake
FDEPT005011204132,LOW,FDEPT00501,TEST,None,pID123,Pasta,Fruit,Water,Milkshake
FDEPT006011204132,LOW,FDEPT00601,TEST,None,pID123,Steak,None,None,None
FDEPT001011204132,LOW,FDEPT00101,TEST,None,pID123,Pasta,Fries,Juice,None
FDEPT002011204132,LOW,FDEPT00201,TEST,None,pID123,Pasta,Fries,Juice,IceCream
FDEPT003011204132,LOW,FDEPT00301,TEST,None,pID123,Pasta,Fries,Juice,Cake
FDEPT004011204132,LOW,FDEPT00401,TEST,None,pID123,Pasta,Fries,Juice,Cake
